name,transcription,meaning,extended meaning,gloss,language
Ọmọ́bẹ́mìlẹ́numi,ọmọ-bá-ẹ̀mí-ní-ẹnu-mi,The child met me still breathing.,"""A woman who was almost dead while in the labour room and later gave birth gave this name to the child"" - User feedback",[{'ọmọ': ' - child'}],yoruba
Ọmọ́bọlájí,ọmọ-bá-ọlá-jí,The child woke up with wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́bọ̀,ọmọ-bọ̀,The child returns.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́bọ̀bọ́la,ọmọ-bọ̀-bá-ọlá,The child comes to meet nobility.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́bọ̀sọ́lá,ọmọ-bọ̀-sí-ọlá,A child entered into prestige.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́bọ̀wálé,ọmọ-bọ̀-wá-ilé,(The) child has returned home,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́bọ́jà,ọmọ-bá-ọjà,The child meets the market.,It's a name given to one born on the way to or from the market.,[{'ọmọ': ' - child'}],yoruba
Ọmọ́bọ́ládé,ọmọ-bá...dé-ọlá,This child came at the same time as wealth/honour/glory.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́bọ́lárìnwá,ọmọ-bá-ọlá-rìn-wá,"Born around the same time the family came into riches, success or wealth.",unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́bọ́láńlé,ọmọ-bá-ọlá-ní-ilé,Born into wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́bọ́redé,ọmọ-bá-ore-dé,Child comes with kindness/gifts.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́dayọ̀,ọmọ-di-ayọ̀,The child becomes joy.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́dàmórí,Ọmọ́-dà-mọ́-orí,The child mixes with the head,unknown,[{'Ọmọ́': ' - child'}],yoruba
Ọmọ́déere,ọmọ-dé-ire,The child arrived well.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́démiládé,ọmọ-dé-mi-ní-adé,The child crowns me.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́désíre,ọmọ-dé-sí-ire,Child has come into goodness.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́dilé,ọmọ-di-ilé,The child becomes the home.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́diméjì,ọmọ-di-méjì,My children have become two.,unknown,"[{'ọmọ': ' - child, children'}]",yoruba
Ọmọ́dolúpọ̀,ọmọ-da-olú-pọ̀,The child brings two families of prominence together.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́dùnbí,ọmọ-dùn-láti-bí,The child is sweet to birth (to have).,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́dùnmọ́lá,ọmọ-dùn-mọ́-ọlá,A child is sweet with wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́dùnní,ọmọ-dùn-ní,Having a child is joyful.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́dásọ́lá,ọmọ-dá-sí-ọlá,The child participates or joins in wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́délé,ọmọ-dé-ilé,The child is home.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́désọ́lá,ọmọ-dé-sí-ọlá,This child has arrives into wealth or nobility.,This name is given to a child considered to have arrived into a wealthy family.,[{'ọmọ': ' - child'}],yoruba
Ọmọ́dẹ̀hìndé,ọmọ-dẹ̀hìndé,The child has arrived again.,"This is a name given to a child in a family where children die recurrently ( àbíkú). It means the child that died the other time has arrived again.
It is a variant of the following names: Dẹ̀hìndé, Ọmọ́dẹ̀hìnbọ̀, Ọmọ́sẹ̀hìndé",[{'ọmọ': ' - child'}],yoruba
Ọmọ́dọlápọ̀,ọmọ-da-ọlá-pọ̀,The child has added more honour.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́fadékẹ́,ọmọ-fi-adé-kẹ́,A child adorned with royalty.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́fádé,"ọmọ-fẹ́-adé, ọmọ-fa-adé, ọmọ-fẹ-adé",HOMOGRAPH Ọmọ́fádé The child loves/wants the crown. ____ Ọmọ́fadé: 1. The child pulls the crown. 2. The child expands royalty.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́fisáyọ̀,ọmọ-fi-sí-ayọ̀,A child is added to (my) joy.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́foyèwá,ọmọ-fi-oyè-wá,The child came with honour.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́fóyè,ọmọ-fẹ́-oyè,1. The child wants/loves honour. 2. The child wants a title.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́fẹlá,"ọmọ-fẹ-ọlá, ọmọ-fẹlá",1. The child is the epitome of the parents' fortune/success. 2. The child enlarges success. 3. The child luxuriates in success.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́fẹ́mi,ọmọ-fẹ́-mi,The child loves me.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́fọlábọ̀,ọmọ-fi-ọlá-bọ̀,The child returns with wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́fọlárìn,ọmọ-fi-ọlá-rìn,The child walks with nobility.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́fọlárìnwá,ọmọ-fi-ọlá-rìn-wá,The child walks in with nobility.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́gbémiró,ọmọ-gbé-mi-ró,The child upheld me.,See: Olúgbémiró,[{'ọmọ': ' - child'}],yoruba
Ọmọ́gbésímilọ́wọ́,ọmọ-gbé-sí-mi-ní-ọwọ́,Child is eternal in my hands.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́gbọ́ládé,ọmọ-gbé-ọlá-dé,The child brings honour.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́gbọ́láhàn,ọmọ-gbé-ọlá-hàn,This child makes our wealth salient.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́gbọ́lárìnwá,ọmọ-gbé-ọlá-rìn-wá,The child brought wealth (to us).,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́gbọ́njúbọ́lá,ọmọ-gbọ́njú-bá-ọlá,The child grew up to meet success.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́goríọlá,ọmọ-gorí-ọlá,The child is greater than wealth (riches).,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́gùnlóyè,ọmọ-gùn-ní-oyè,The child is long in honour/title.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́gúnwà,ọmọ-gúnwà,The child reigns supreme.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́jíráyọ̀,ọmọ-jí-rí-ayọ̀,The child wakes up to joy.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́jowó,ọmọ-ju-owó,The child is better than money.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́jowólọ,ọmọ-ju-owó-lọ,A child is more valuable than wealth.,unknown,[{'ọmọ': ' - a child'}],yoruba
Ọmọ́juwà,ọmọ-ju-ìwà-gbé,The child is our legacy. The child won't let our legacy go to waste.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́juwàgbé,ọmọ-kìí-jẹ́-kí-ìwà-gbé,The child won't let one's legacy go to waste.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́jùgbàgbé,ọmọ-jù-gbàgbé,Children aren't easily forgotten.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́júohungbogbolọ,ọmọ-ju-ohun-gbogbo-lọ,A child is the most important thing in the world.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́jọláẹbí,ọmọ-jọlá-ẹbí,The child enjoys the grace/nobility/privilege of the family.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́jọlé,ọmọ-jọ-ilé,The child resembles the home.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́jọmí,ọmọ́-jọ-èmi,My child is like (resembles) me.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́kanyè,ọmọ-kan-oyè,The child meets chieftaincy.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́kánjú,Ọmọ́-kánjú,The child is in a hurry; the child is hasty,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́káyọ̀dé,ọmọ-kó-ayọ̀-dé,The child has brought joy in aundance.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́kórè,ọmọ-kó-erè,The child harvests.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́kúngà,ọmọ-kún-igà,There are plenty children in (our) throne room.,unknown,[{'ọmọ': ' - children'}],yoruba
Ọmọ́kúnlé,ọmọ-kún-ilé,The house (family) is filled with children.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́kẹ́hìndé,ọmọ-kẹ́hìn-dé,The child came second/last.,This is the name given to the second part of a twin.,[{'ọmọ': ' - child'}],yoruba
Ọmọ́kẹ́mi,ọmọ-kẹ́-mi,The child befits/cherishes me.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́kẹ́yìndé,ọmọ-kẹ̀yìn-dé,The child returns second.,This is a name given to the second of twins.,[{'ọmọ': ' - child'}],yoruba
Ọmọ́kẹ́yẹ,ọmọ-kó-èyẹ,Child brings honour.,See: Kẹ́yẹdé,[{'ọmọ': ' - child'}],yoruba
Ọmọ́kọ́lápọ̀,ọmọ-kó-ọlá-pọ̀,The child brought success (from two families) together.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́là,ọmọ-là,The child survives.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́làjà,ọmọ-là-ìjà,The child settled the quarrel.,This kind of child was given birth to during dispute between parents or parents' family; the birth of such child brings unity among the parents/ parents family.,[{'ọmọ': ' - child'}],yoruba
Ọmọ́lèsì,ọmọ-ni-èsì,The child has come as the response/answer.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́loyè,ọmọ-ni-oyè,A child is a chieftancy title.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́lóluoyè,ọmọ-ni-olú-oyè,The chief fruit of chieftaincy is the child.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́múrewá,ọmọ-mú-ire-wá,The child brings goodness.,unknown,[{'ọmọ': ' - the child'}],yoruba
Ọmọ́mọwó,Ọmọ́-mọ-owó,This child recognizes the value of money,unknown,[{'Ọmọ́': ' - child'}],yoruba
Ọmọ́nílé,ọmọ-ní-ilé,The child has a home.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́níwà,ọmọ-ní-ìwà,The child has character.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́paríọlá,ọmọ-parí-ọlá,The child epitomises affluence.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́pẹ̀rọ̀sọ́lá,ọmọ-pa-ẹ̀rọ̀-sí-ọlá,The child brought peace into wealth/nobility.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́pẹ́,ọmọ-pẹ́,The child took a while to arrive.,An abridgment of Ọmọ́pẹ́nínú (the child took a while in the womb).,[{'ọmọ': ' - child'}],yoruba
Ọmọ́pẹ́nnú,ọmọ-pẹ́-ní-inú,The child took long in the womb.,This name is typically given with a longer gestation than nine months.,[{'ọmọ': ' - child'}],yoruba
Ọmọ́pẹ́nínú,ọmọ-pẹ́-ní-inú,The child stayed too long in the womb.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ráyéwá,ọmọ-rí-ayé-wá,This child came to a good life.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́rìnlóyè,ọmọ-rìn-ní-oyè,The child walks to receive honour.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́rìnmádé,ọmọ-rìn-mọ́-adé,The child walks with royalty.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́rìnóyè,ọmọ-rìn-(ní)-oyè,The child walks into honour.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́rìnsóyè,ọmọ-rìn-sí-oyel,The child walks into honour.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́rìnsọ́jọ́,ọmọ-rìn-sí-ọjọ́,The child walks into the (perfect) day. A perfectly-timed child.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́rìnọ́lá,ọmọ-rìn-(sí)-ọlá,The child walks into success.,See also: Ọmọ́rìnsọ́lá.,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ríléwá,ọmọ-rí-ilé-wá,The child has found a home to come to.,"A name for an adopted orphan, or a name simply given to appreciate such a beautiful child coming into this family.",[{'ọmọ': ' - child'}],yoruba
Ọmọ́ríresọ́lá,ọmọ-rí-ire-sí-ọlá,The child sees goodness in wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ríyebá,ọmọ-rí-iye-bá,The child met his/her mother.,"This is a name given to a child whose birth was surrounded by trials. The name implies a relief that the mother made it through the travails enough to meet the child.

It can also be for a child whose mother died shortly after he/she is born.",[{'ọmọ': ' - child'}],yoruba
Ọmọ́rókè,ọmọ́-rí-okè,The child has seen the mountain.,unknown,[{'ọmọ́': ' - child'}],yoruba
Ọmọ́róníkẹ,ọmọ-rí-oníkẹ̀ẹ́,A child finds one who cares for her.,"See also: Ọmọ́bóníkẹ́, Ọmọ́bóníkẹ̀ẹ́",[{'ọmọ': ' - child'}],yoruba
Ọmọ́rẹwà,ọmọ-rẹwa,The child is beautiful.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́sanwó,ọmọ-san-owó,The child pays.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́sànyà,ọmọ-san-ìyà,The child paid back sufferings.,"See also: Adésànyà, Olúsànyà, etc",[{'ọmọ': ' - child'}],yoruba
Ọmọ́shínà,ọmọ-ṣí-ọ̀nà,A child opened the way.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́shọ̀wọ́n,ọmọ-ṣe-ọ̀wọ́n,A child is priceless/dear.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́sùnládé,ọmọ-sùn-lé-adé,The child rests on a crown.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́súnmibọ́lá,ọmọ-sún-mi-bá-ọlá,The child has moved me closer to success/wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́sẹfun,ọmọ-ṣe-ẹfun,1. The child of the white cloth. 2. Ọbàtálá gave this child.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tàlàdé,ọmọ-ti-àlà-dé,The child came from purity.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tádé,ọmọ-tó-adé,The child is equal to the crown.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tárá,ọmọ-tó-ará,The child is worth (many) relatives.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́táyọ̀,ọmọ-tó-ayọ̀,The child equates to joy.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́táyọ̀mi,ọmọ-tó-ayọ̀-mi,My child equates the joy I have.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́téjì,ọmọ-tó-èjì,One child is worth two.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́térè,ọmọ-tó-èrè,The child is worth (his/her) rewards.,unknown,[{'ọmọ': ' - the child'}],yoruba
Ọmọ́tiléwá,ọmọ-ti-ilé-wá,The child came from (a good) home.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́toríogun,ọmọ-torí-ogun,"The child, because of battle (came to the world).",unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tókẹ́,ọmọ-tó-kẹ́,It is only right to pamper a child.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tómiikẹ́,-,See Ọmọ́tómikẹ́.,unknown,[{None: ' - '}],yoruba
Ọmọ́tómikẹ́,ọmọ-tó-mi-kẹ́,Having a child satisfies my desires. I am content with caring for a child.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tómirera,ọmọ-tó-mi-re-ara,This child is enough for me to show off.,A child to be proud of. A child to be pampered. A child one can show off.,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tóní,ọmọ́-tó-ní,A child is a valuable asset.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tóyè,ọmọ-tó-oyè,The child is worth the chieftaincy.,"See: Ọmọ́tọ́lá, Ọmọ́tádé",[{'ọmọ': ' - child'}],yoruba
Ọmọ́tóyọ̀sí,ọmọ-tó-yọ̀-sí,Having a child is worth celebrating.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tùbora,ọmọ-tú-bọ-ara,The child is worthy of being covered with.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tẹ́hìnṣe,ọmọ́-tún-ẹ̀hìn-ṣe,A child that repairs what is left behind.,unknown,[{'Ọmọ́': ' - child'}],yoruba
Ọmọ́tẹ́lẹ̀ọlá,ọmọ-tẹ́-ilẹ̀-ọlá,The child prepares the ground for wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tẹ́ní,ọmọ-tẹ́-ẹní,The child lays the mat (of wealth). An abridged form of Ọmọ́tẹ́níọlá.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tẹ́níọlá,ọmọ-tẹ́-ẹní-ọlá,The child lays the mat of wealth. Shortened form: Ọmọ́tẹ́ní.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tẹ́yìnṣe,ọmọ-tún-ẹ̀yìn-ṣe,The child takes good care of the home in one's absence.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tẹ́yẹ,ọmọ-tó-ẹ̀yẹ,The child is worth celebrating.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tọ̀míwá,ọmọ-tọ̀-mí-wá,The child came to me.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tọ̀míwálé,ọmọ-tọ̀-mí-wá-ilé,The child followed me home.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tọ̀wá,ọmọ-tọ̀-wá,A child came to us.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tọ́lání,ọmọ-tó-ọlá-ní,The child is old/prominent/important enough to have wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́tọ́shọ́,ọmọ-tó-ọ̀ṣọ́,The child is worth ornaments.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wayé,ọmọ-wá-ayé,The child arrives in the world.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wáare,ọmọ-wá-(re)re,The child came well.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wáire,ọmọ-wá-ire,1. The child came well 2. A child seeks favour.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wáiyé,ọmọ-wá-ayé,(An important) child came into the world.,unknown,"[{'ọmọ': ' - child, an important child'}]",yoruba
Ọmọ́wálé,ọmọ-wá-ilé,The child has come home.,This was the Yorùbá name given to Malcolm X when he visited the University of Ìbàdàn in 1959: https://en.wikipedia.org/wiki/Malcolm_X,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wáléọlá,ọmọ-wá-ilé-ọlá,A child came to a home of wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wáre,ọmọ́-wá-ire,The child seeks goodness.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́worarẹ̀,ọmọ-wo-ara-rẹ̀,The child looks after itself.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wùmí,ọmọ-wù-mí,I am desirous of the child.,Same meaning as Ọmọ́wùnmí.,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wándé,ọmọ-wá-n-dé,The child sought and found me.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wọnúọlá,ọmọ-wọ̀-inú-ọlá,The child enters into wealth. Wọnúọlá,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wọ́n,ọmọ-wọ́n,Children are expensive.,The name is given to children whose parents have been waiting to have children for a very long time.,"[{'ọmọ': ' - child, children'}]",yoruba
Ọmọ́yájowó,ọmọ-yá-ju-owó,The child is better than money.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́yẹlé,ọmọ-yẹ-ilé,Children are a good fit for homes. This child is befitting of our home.,unknown,"[{'ọmọ': ' - child, children'}]",yoruba
Ọmọ́yẹmí,ọmọ-yẹ-mí,The child befits me. The child bring honour to me.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́yẹni,ọmọ-yẹ-ẹni,Child befits one.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́yọ̀sọ́lá,ọmọ-yọ̀-sí-ọlá,The child rejoices into wealth.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ṣaléwá,ọmọ-ṣa-ilé-wá,The child selected this house to come to.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ṣango,ọmọ-ṣàngó,Child of Ṣàngó.,Iṣẹ̀ṣe Ifá Lucumi.,"[{'ọmọ': ' - child, offspring'}]",yoruba
Ọmọ́ṣàgbà,ọmọ́-ṣe-àgbà,The child is elder.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ṣeékẹ́,ọmọ-ṣeé-kẹ́,The child is worth pampering.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ṣẹwà,ọmọ-ṣe-ẹwà,The child embodies beauty.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ṣẹ̀san,ọmọ-ṣe-ẹ̀san,The child is a reward for some previous losses (of a child or other significant loss).,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ṣẹ̀yẹ,ọmọ-ṣe-èyẹ,The child brings honour.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ṣẹ́tẹ̀mi,ọmọ-ṣe-ti-èmi,Children listen to me.,unknown,"[{'ọmọ': ' - child, children'}]",yoruba
Ọmọ́ṣọlápé,ọmọ-ṣe-ọlá-pé,The child that completes success.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ṣọ̀wọ́n,ọmọ-ṣe-ọ̀wọ́n,A good child is rare.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́dára,ọmọ-dára,1. The child is good (Ọmọ́dára). 2. The child creates wonders/The child is wonderful. (Ọmọ́dárà),unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́ga,-,The child is tall.,unknown,,yoruba
Ọmọ́gẹ,-,unknown,unknown,,yoruba
Ọmọ́jolá,ọmọ-ju-ọlà,The child is more than wealth.,The name is written either as Ọmọjọlá or Ọmọ́jọlà,[{'ọmọ': ' - child'}],yoruba
Ọmọ́làlé,-,unknown,unknown,,yoruba
Ọmọ́le,-,The child is hard.,unknown,,yoruba
Ọmọ́remí,-,The child attracts me.,unknown,,yoruba
Ọmọ́reni,-,The child attracts one.,unknown,,yoruba
Ọmọ́túndé,ọmọ-tún-dé,The child has returned.,"This is an abíkú name, given to a child believed to have returned after many arrivals and departures.",[{'ọmọ': ' - child'}],yoruba
Ọmọ́túndùn,-,The child is sweet again.,unknown,,yoruba
Ọmọ́tọ́ṣọ̀,ọmọ-tó-ọ̀ṣọ́,The child is worth ornaments.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọ́wùnmí,ọmọ-wù-mí,I'm desirous of a child.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọmọṣọlá,-,The child makes wealth.,unknown,,yoruba
Ọmọọlọ́run,ọmọ-ọlọ́run,Child of God.,unknown,[{'ọmọ': ' - child'}],yoruba
Ọnàbánjí,ọnà-bá-mi-jí,Artistry woke up with me.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàbámiró,ọnà-bá-mi-ró,Ornaments have stood with me.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàbánjọ,ọnà-bá-mi-jọ,Ornamental work (as a profession) is agreeable to me.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàbíyì,ọnà-bí-èyí,Artistry birthed this.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàbólú,ọnà-bá-olú,Artistry meets prominence.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàbẹ̀kun,[unknown],[unknown],unknown,,yoruba
Ọnàbọ̀wàlé,ọnà-bọ̀-wá-ilé,Artistry/Beauty has returned home.,"See also: Adébọ̀wálé, Oyèbọ̀wálé","[{'ọnà': ' - artistry, craft, beauty'}]",yoruba
Ọnàdélé,-,Ornaments have returned home.,unknown,,yoruba
Ọnàdípẹ̀,ọnà-dípẹ̀,Artistry replaced loss.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàfuwà,-,unknown,unknown,,yoruba
Ọnàfẹ̀sọ̀,ọnà-fi-ẹ̀ṣọ̀-bí,"Artistry, gently, (gave birth to).",See also: Ọnàfẹ̀sọ̀bí,"[{'ọnà': ' - artistry, beauty'}]",yoruba
Ọnàfẹ̀sọ̀bí,ọnà-fi-ẹ̀ṣọ̀-bí,Artistry gave birth to (this one) gently.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàfẹ́kọ,ọnà-fẹ́-ẹ̀kọ́,Artistry loves learning.,unknown,"[{'ọnà': ' - artistry, ornaments'}]",yoruba
Ọnàfọwọ́kàn,ọnà-fi-ọwọ́-kàn,One touched by artistry.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàgbọlá,ọnà-gba-ọlá,Artistry receives success.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàjọbí,ọnà-jọ-ìbí,Artistry birthed this (child).,unknown,"[{'ọnà': ' - artistry, ornament'}]",yoruba
Ọnàkáyọ̀dé,ọnà-kó-ayọ̀-dé,Artistry brought joy.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàlàdé,ọnà-là-dé,Craft artistry has arrived.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàlàjà,ọnà-la-ìjà,Artistry has settled the fight.,unknown,"[{'ọnà': ' - beauty, artistry'}]",yoruba
Ọnàlésì,ọnà-ní-èsì,Artistry has a response.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàmùtì,ọnà-mú-ìtìjú (kúró),Artistic works (that I possess or have created) have taken (my) shame away (from me).,unknown,"[{'ọnà': ' - arts, road, method'}]",yoruba
Ọnàmúsì,ọnà-mú-ùsì,Artistry acquires prosperity..,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàrìndé,ọnà-rìn-dé,Artistry walked in.,unknown,[{'onà': ' - artistry'}],yoruba
Ọnàsànyà,ọnà-sàn-ìyà,Ornamental work compensates (for a previous loss).,unknown,"[{'ọnà': ' - ornament, artistry'}]",yoruba
Ọnàtóyè,ọnà-tó-oyè,Artistry is sufficient for honour.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàwálé,ọnà-wá-ilé,Artistry came home.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàwùmí,ọnà-wù-mí,I am attracted to artistry.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàwọlá,ọnà-wọ-ọlá,Artistry merged with nobility.,unknown,[{'ọnà': ' - artistry'}],yoruba
Ọnàyadé,ọnà-ya-dé,Artistry came by in droves.,unknown,[{'ọnà': ' - artistry'}],yoruba
